client_id,client_name,client_type,sector,sector_risk,country,pep_flag,sanctions_flag,fatf_country_flag,ofac_country_flag,sectoral_sanctions_flag,ownership_opacity_score,risk_tier,accounts_to_assign,accounts_to_assign_final,high_rank
22,"Silva, Cherry and Klein",Individual,Casino/Gambling,High,UK,0,0,0,0,0,0,High,6,7,14
23,Williams-Phillips,NGO,Financial Services,Medium,FR,0,0,0,0,1,0.5,Medium,4,4,
24,"Frost, Hill and Kaufman",Corporate,Casino/Gambling,High,SY,0,0,0,1,0,0,High,6,7,15
25,Shields PLC,Financial Institution,Crypto Exchange,High,SG,0,0,0,0,0,0,High,6,7,16
26,Calderon Group,NGO,Crypto Exchange,High,IR,0,0,1,1,0,0,High,6,7,17
27,"Bush, Stephens and York",Financial Institution,Energy/Oil,High,LB,0,0,0,0,1,0,High,6,7,18
28,Villegas-Bishop,Financial Institution,Real Estate,Medium,IR,0,0,1,1,0,0,High,6,7,19
29,Smith-Miller,Corporate,Import/Export,Medium,RU,0,0,0,1,0,0,Medium,4,4,
30,"Moore, Ballard and Adams",NGO,Casino/Gambling,High,IR,0,0,1,1,0,1,High,6,7,20
31,Brown Inc,NGO,Casino/Gambling,High,LB,0,0,0,0,0,0,High,6,7,21
32,Murray PLC,Financial Institution,Financial Services,Medium,FR,0,0,0,0,1,0,Medium,4,4,
33,Moss Ltd,Corporate,Real Estate,Medium,RU,0,0,0,1,0,0,Medium,4,4,
34,Williams-Lawson,Financial Institution,Financial Services,Medium,AF,0,0,0,0,1,0,Medium,4,4,
35,Washington-Johnson,Financial Institution,NGO/Charity,High,IR,0,0,1,1,0,0,High,6,7,22
36,"Olson, Evans and Thomas",Individual,Crypto Exchange,High,IN,0,0,0,0,0,0,High,6,7,23
37,"Miller, Berg and Rice",NGO,Energy/Oil,High,SD,0,0,0,1,1,0,High,6,7,24
38,"Hubbard, Obrien and Davis",Corporate,Real Estate,Medium,VE,0,0,0,1,0,0.5,Medium,4,4,
39,White-Scott,NGO,NGO/Charity,High,FR,0,0,0,0,0,0,High,6,7,25
40,Fowler and Sons,Individual,Real Estate,Medium,RU,0,0,0,1,0,0,Medium,4,4,
41,"May, Jennings and Downs",Corporate,Casino/Gambling,High,NL,0,0,0,0,0,0,High,6,7,26
42,"Gates, Hicks and Frazier",Corporate,Crypto Exchange,High,NL,0,0,0,0,0,0,High,6,7,27
43,"Cox, Peck and Miranda",NGO,Crypto Exchange,High,SY,0,0,0,1,0,0,High,6,7,28
44,"Wilson, Garcia and Daniels",NGO,Real Estate,Medium,US,1,0,0,0,0,0,High,6,7,29
45,"Ryan, Lawson and Harris",Corporate,Financial Services,Medium,KP,0,0,1,1,1,0,High,6,7,30
46,"Castro, Manning and Berry",NGO,Retail,Low,NL,0,0,0,0,0,0,Low,2,2,
47,Rodriguez Ltd,NGO,NGO/Charity,High,DE,0,0,0,0,0,0,High,6,7,31
48,Hill-Luna,Financial Institution,Financial Services,Medium,KP,0,0,1,1,1,0,High,6,7,32
49,"Russell, Bradley and Ryan",Individual,Defense/Arms,High,AF,0,0,0,0,1,0,High,6,7,33
50,Nelson-Alexander,NGO,Real Estate,Medium,SY,0,0,0,1,0,0,Medium,4,4,
51,"Eaton, Hurley and Mullins",Individual,Casino/Gambling,High,AU,0,0,0,0,0,0,High,6,7,34
52,Gray-Sanford,Financial Institution,Defense/Arms,High,FR,0,0,0,0,1,0,High,6,7,35
53,Johnson LLC,Individual,Defense/Arms,High,IR,0,0,1,1,1,0,High,6,7,36
54,"Ramos, Keller and Rodgers",Corporate,NGO/Charity,High,AF,0,0,0,0,0,0.5,High,6,7,37
55,Rivera-Guzman,NGO,Defense/Arms,High,SD,0,0,0,1,1,0.5,High,6,7,38
56,Buckley-Goodman,Financial Institution,Defense/Arms,High,CN,0,0,0,0,1,0,High,6,7,39
57,"Snyder, Hines and Thompson",Financial Institution,Retail,Low,SY,0,0,0,1,0,0,Low,2,2,
58,"Davis, Ballard and Schmidt",Individual,Import/Export,Medium,AF,0,0,0,0,0,0,Medium,4,4,
59,Tran-Novak,NGO,Consulting,Low,DE,0,0,0,0,0,0,Low,2,2,
60,Cooke-James,Individual,Defense/Arms,High,VE,0,0,0,1,1,0,High,6,7,40
61,Lee and Sons,Financial Institution,Retail,Low,CH,0,0,0,0,0,0,Low,2,2,
62,Fernandez-Brewer,Individual,Retail,Low,US,0,0,0,0,0,0,Low,2,2,
63,Powell-Santiago,NGO,NGO/Charity,High,LB,0,0,0,0,0,0,High,6,7,41
64,"Wilson, Cook and Miller",Individual,Import/Export,Medium,KP,0,0,1,1,0,0,High,6,7,42
65,Allen PLC,NGO,Consulting,Low,VE,0,0,0,1,0,0,Low,2,2,
66,Mills-Browning,Financial Institution,Defense/Arms,High,CH,0,0,0,0,1,0,High,6,7,43
67,"Kim, Gibbs and Cardenas",Corporate,Retail,Low,NL,0,0,0,0,0,0.5,Low,2,2,
68,Vaughan and Sons,NGO,Real Estate,Medium,UK,1,0,0,0,0,0,High,6,7,44
69,Juarez PLC,Individual,Financial Services,Medium,AF,0,0,0,0,1,0,Medium,4,4,
70,Lewis-Allen,NGO,Defense/Arms,High,AE,0,0,0,0,1,0,High,6,7,45
71,"Hawkins, Harris and Peters",Corporate,Casino/Gambling,High,CN,0,0,0,0,0,0.5,High,6,7,46
72,Smith Group,Financial Institution,Tech,Low,JP,0,0,0,0,0,0,Low,2,2,
73,Gomez-Mason,NGO,Consulting,Low,US,0,0,0,0,0,0,Low,2,2,
74,"Sutton, Wright and Maxwell",NGO,Casino/Gambling,High,CH,0,0,0,0,0,0,High,6,7,47
75,"Hunter, Green and Gardner",NGO,Casino/Gambling,High,SY,0,0,0,1,0,0,High,6,7,48
76,Jarvis and Sons,Individual,Consulting,Low,FR,0,0,0,0,0,0,Low,2,2,
77,"Kelly, Johnson and Brooks",Financial Institution,Financial Services,Medium,DE,0,0,0,0,1,0,Medium,4,4,
78,"Roach, Thomas and Richardson",Corporate,Crypto Exchange,High,SD,0,0,0,1,0,0.5,High,6,7,49
79,Roberson-Medina,NGO,Financial Services,Medium,UK,0,0,0,0,1,1,Medium,4,4,
80,Wallace Ltd,Financial Institution,Retail,Low,US,0,0,0,0,0,0,Low,2,2,
81,"Lynch, Calderon and Glover",Individual,NGO/Charity,High,AE,0,0,0,0,0,0,High,6,7,50
82,Walker-Norman,NGO,Energy/Oil,High,VE,1,0,0,1,1,0,High,6,7,51
83,"Moore, Gardner and Bray",Individual,NGO/Charity,High,IR,0,0,1,1,0,0,High,6,7,52
84,Moreno-Sanders,Individual,Financial Services,Medium,IN,0,0,0,0,1,0,Medium,4,4,
85,Myers-Wood,NGO,Import/Export,Medium,AU,0,0,0,0,0,0,Medium,4,4,
86,Gibson-Nunez,Financial Institution,Casino/Gambling,High,FR,0,0,0,0,0,0,High,6,7,53
87,Weiss PLC,NGO,Energy/Oil,High,IN,0,0,0,0,1,0.5,High,6,7,54
88,Richards-Burns,Corporate,Real Estate,Medium,SG,0,0,0,0,0,0.5,Medium,4,4,
89,"Hoffman, Bailey and Tate",Corporate,Import/Export,Medium,US,0,0,0,0,0,0,Medium,4,4,
90,Garcia-Baker,Financial Institution,Crypto Exchange,High,IR,0,0,1,1,0,0,High,6,7,55
91,Richardson-Richardson,Individual,Import/Export,Medium,AF,0,0,0,0,0,0,Medium,4,4,
92,Foster Inc,NGO,Retail,Low,JP,0,0,0,0,0,0.5,Low,2,2,
93,"Moreno, Reyes and Wright",Individual,Import/Export,Medium,SY,0,0,0,1,0,0,Medium,4,4,
94,"Lewis, Welch and Charles",Individual,Retail,Low,NL,0,1,0,0,0,0,High,6,7,56
95,"Jenkins, Harper and Edwards",Individual,Real Estate,Medium,SD,0,0,0,1,0,0,Medium,4,4,
96,Young Inc,Financial Institution,Import/Export,Medium,VE,0,0,0,1,0,0,Medium,4,4,
97,Powell-Johnson,NGO,Energy/Oil,High,SY,0,1,0,1,1,1,High,6,7,57
98,Clarke LLC,Corporate,NGO/Charity,High,SG,0,0,0,0,0,0,High,6,7,58
99,Ford-Chen,Individual,Casino/Gambling,High,AF,0,0,0,0,0,0,High,6,7,59
100,"Moore, Joyce and Morrison",Financial Institution,NGO/Charity,High,CH,0,0,0,0,0,0,High,6,7,60
101,"Jones, Smith and Kent",Corporate,NGO/Charity,High,VE,0,0,0,1,0,0,High,6,7,61
102,Munoz-Zuniga,Financial Institution,Consulting,Low,SG,0,0,0,0,0,0,Low,2,2,
103,"Martin, Cooper and Coleman",Individual,Casino/Gambling,High,CA,0,0,0,0,0,0,High,6,7,62
104,"Hudson, Monroe and Pierce",Financial Institution,NGO/Charity,High,AU,0,0,0,0,0,0,High,6,7,63
105,Schmidt Inc,Corporate,Real Estate,Medium,AE,0,0,0,0,0,0.5,Medium,4,4,
106,"Conner, Carter and Yang",Financial Institution,Import/Export,Medium,LB,0,0,0,0,0,0,Medium,4,4,
107,"Mckinney, Torres and Stewart",Financial Institution,Defense/Arms,High,RU,0,0,0,1,1,0,High,6,7,64
108,Castro-Nguyen,Individual,Real Estate,Medium,IR,0,0,1,1,0,0,High,6,7,65
109,Johnson Inc,Corporate,Defense/Arms,High,AE,0,0,0,0,1,0,High,6,7,66
110,Kelley-Klein,Financial Institution,Financial Services,Medium,SG,0,0,0,0,1,0,Medium,4,4,
111,Marshall Inc,NGO,Real Estate,Medium,CN,0,0,0,0,0,0,Medium,4,4,
112,Little Inc,NGO,Retail,Low,FR,0,0,0,0,0,0,Low,2,2,
113,Wang-Fletcher,Corporate,Consulting,Low,AE,0,0,0,0,0,1,Medium,4,4,
114,"Cherry, Watson and Rich",Individual,Tech,Low,AU,0,0,0,0,0,0,Low,2,2,
115,Bartlett Group,Individual,NGO/Charity,High,SG,0,0,0,0,0,0,High,6,7,67
116,Gibson-Bird,NGO,Financial Services,Medium,VE,0,0,0,1,1,1,Medium,4,4,
117,Lee-Olson,Corporate,Real Estate,Medium,VE,1,0,0,1,0,0,High,6,7,68
118,Ortega-Acevedo,Corporate,NGO/Charity,High,SD,0,0,0,1,0,0,High,6,7,69
119,Dickson PLC,NGO,Tech,Low,DE,0,0,0,0,0,0,Low,2,2,
120,"Contreras, Ferguson and Hunt",Financial Institution,Financial Services,Medium,RU,0,0,0,1,1,0,Medium,4,4,
121,Phillips PLC,Corporate,Defense/Arms,High,IN,0,0,0,0,1,1,High,6,7,70
122,Patel-White,Financial Institution,Casino/Gambling,High,SY,0,0,0,1,0,0,High,6,7,71
123,Stevens-Gray,NGO,Casino/Gambling,High,US,0,0,0,0,0,0.5,High,6,7,72
124,Smith and Sons,Financial Institution,Real Estate,Medium,RU,0,0,0,1,0,0,Medium,4,4,
125,"Kim, Mccoy and Moore",NGO,Retail,Low,AF,0,0,0,0,0,0,Low,2,2,
126,"Adkins, Rose and Huber",Individual,Consulting,Low,JP,0,0,0,0,0,0,Low,2,2,
127,Hill Group,Corporate,Financial Services,Medium,SG,0,0,0,0,1,1,Medium,4,4,
128,Acosta and Sons,Financial Institution,Crypto Exchange,High,KP,0,0,1,1,0,0,High,6,7,73
129,"Walker, Palmer and Dawson",NGO,Retail,Low,LB,0,0,0,0,0,0,Low,2,2,
130,Vargas and Sons,Financial Institution,Import/Export,Medium,IR,1,0,1,1,0,0,High,6,7,74
131,Boone Ltd,Corporate,Real Estate,Medium,SD,0,0,0,1,0,0,Medium,4,4,
132,Holmes Ltd,Individual,Consulting,Low,CN,0,0,0,0,0,0,Low,2,2,
133,Landry PLC,Financial Institution,Energy/Oil,High,SG,0,0,0,0,1,0,High,6,7,75
134,Boyd LLC,Financial Institution,Crypto Exchange,High,SY,0,0,0,1,0,0,High,6,7,76
135,Wallace LLC,NGO,Energy/Oil,High,FR,0,0,0,0,1,0,High,6,7,77
136,Myers PLC,NGO,Casino/Gambling,High,SG,0,0,0,0,0,0,High,6,7,78
137,Walsh-Weber,Individual,Import/Export,Medium,CA,0,0,0,0,0,0,Medium,4,4,
138,Jimenez Ltd,Individual,NGO/Charity,High,SD,0,0,0,1,0,0,High,6,7,79
139,Ramos LLC,Individual,Tech,Low,JP,0,0,0,0,0,0,Low,2,2,
140,"Campbell, Miller and Sweeney",Financial Institution,Consulting,Low,IR,0,0,1,1,0,0,High,6,7,80
141,"Washington, Dean and Moon",Financial Institution,Import/Export,Medium,US,0,0,0,0,0,0,Medium,4,4,
142,Phillips-Williams,Financial Institution,Real Estate,Medium,AF,0,0,0,0,0,0,Medium,4,4,
143,Campbell Group,Corporate,Real Estate,Medium,DE,0,0,0,0,0,0,Medium,4,4,
144,Reed Inc,Financial Institution,Tech,Low,IN,0,0,0,0,0,0,Low,2,2,
145,"Lawson, Simpson and Lawson",Corporate,Import/Export,Medium,AF,0,0,0,0,0,0.5,Medium,4,4,
146,Adams Ltd,NGO,Tech,Low,NL,0,0,0,0,0,0.5,Low,2,2,
147,Young and Sons,Corporate,Energy/Oil,High,RU,0,0,0,1,1,0.5,High,6,7,81
148,Orozco-Moore,NGO,Real Estate,Medium,AF,0,0,0,0,0,0,Medium,4,4,
149,Hughes Group,Individual,Retail,Low,SD,0,0,0,1,0,0,Low,2,2,
150,Hinton-Murillo,Financial Institution,Retail,Low,IR,0,0,1,1,0,0,High,6,7,82
151,"Dean, Baker and Allen",Corporate,Casino/Gambling,High,AE,0,0,0,0,0,0.5,High,6,7,83
152,Hansen Group,Financial Institution,Energy/Oil,High,CH,0,0,0,0,1,0,High,6,7,84
153,Henderson LLC,Corporate,Tech,Low,AU,0,0,0,0,0,1,Medium,4,4,
154,"Mendoza, Pope and Johnson",Corporate,Financial Services,Medium,CH,1,0,0,0,1,0.5,High,6,7,85
155,Mercado Group,NGO,Crypto Exchange,High,FR,0,0,0,0,0,0,High,6,7,86
156,Briggs-Davis,Financial Institution,Tech,Low,US,0,0,0,0,0,0,Low,2,2,
157,"Cook, Lewis and Summers",Financial Institution,Crypto Exchange,High,AE,0,0,0,0,0,0,High,6,7,87
158,Stevens Inc,Individual,Import/Export,Medium,CA,0,0,0,0,0,0,Medium,4,4,
159,"Warren, Brock and Lee",Financial Institution,Casino/Gambling,High,SG,0,0,0,0,0,0,High,6,7,88
160,Fields-Tran,Individual,Tech,Low,KP,0,0,1,1,0,0,High,6,7,89
161,Martin Inc,Individual,Casino/Gambling,High,CN,0,0,0,0,0,0,High,6,7,90
162,Hogan and Sons,Financial Institution,Real Estate,Medium,US,0,0,0,0,0,0,Medium,4,4,
163,Thomas-Schwartz,Financial Institution,Consulting,Low,NL,0,0,0,0,0,0,Low,2,2,
164,Beltran and Sons,NGO,Consulting,Low,US,0,1,0,0,0,0.5,High,6,7,91
165,Walsh-Harvey,Corporate,Real Estate,Medium,IR,0,0,1,1,0,0.5,High,6,7,92
166,Ward-Brooks,NGO,Real Estate,Medium,VE,0,0,0,1,0,0,Medium,4,4,
167,Hudson PLC,NGO,Financial Services,Medium,AU,0,0,0,0,1,0,Medium,4,4,
168,Garcia-King,Corporate,Consulting,Low,SD,0,0,0,1,0,0,Low,2,2,
169,Lopez-Kennedy,Corporate,Defense/Arms,High,UK,0,0,0,0,1,0,High,6,7,93
170,Dalton LLC,Financial Institution,Retail,Low,JP,0,0,0,0,0,0,Low,2,2,
171,"Ramirez, Banks and Mendoza",Financial Institution,Crypto Exchange,High,SD,0,0,0,1,0,0,High,6,7,94
172,"Smith, Nguyen and Stokes",Individual,Financial Services,Medium,CH,0,0,0,0,1,0,Medium,4,4,
173,Keith-Wagner,Corporate,Import/Export,Medium,UK,0,0,0,0,0,0,Medium,4,4,
174,Williams-Logan,Individual,NGO/Charity,High,AF,0,0,0,0,0,0,High,6,7,95
175,Jennings and Sons,NGO,Crypto Exchange,High,JP,0,0,0,0,0,0,High,6,7,96
176,Bruce-Maynard,Individual,Casino/Gambling,High,RU,0,0,0,1,0,0,High,6,7,97
177,Kennedy-Mckinney,Financial Institution,Tech,Low,AF,0,0,0,0,0,0,Low,2,2,
178,Gordon-Ball,Individual,Casino/Gambling,High,CN,0,0,0,0,0,0,High,6,7,98
179,Mccarthy-Phillips,Financial Institution,NGO/Charity,High,IR,1,0,1,1,0,0,High,6,7,99
180,Rodriguez Inc,Individual,Consulting,Low,VE,0,0,0,1,0,0,Low,2,2,
181,"Pierce, Wilson and Pugh",NGO,Consulting,Low,FR,0,0,0,0,0,0.5,Low,2,2,
182,Hunt and Sons,Financial Institution,Casino/Gambling,High,SG,0,0,0,0,0,0,High,6,7,100
183,Hernandez-Reyes,Financial Institution,Financial Services,Medium,AU,0,0,0,0,1,0,Medium,4,4,
184,"Smith, Vaughan and Rogers",NGO,Crypto Exchange,High,SY,0,0,0,1,0,0,High,6,7,101
185,Hodges LLC,Financial Institution,Consulting,Low,KP,0,0,1,1,0,0,High,6,7,102
186,Miller and Sons,Financial Institution,Financial Services,Medium,JP,0,0,0,0,1,0,Medium,4,4,
187,Weaver Inc,Financial Institution,Retail,Low,CA,0,0,0,0,0,0,Low,2,2,
188,Klein-Sanders,Individual,Defense/Arms,High,CH,0,0,0,0,1,0,High,6,7,103
189,Hernandez-Ortega,NGO,Energy/Oil,High,UK,1,0,0,0,1,0,High,6,7,104
190,"Jenkins, Knox and Powell",Individual,Consulting,Low,CA,0,0,0,0,0,0,Low,2,2,
191,Shields Group,Financial Institution,Defense/Arms,High,JP,0,0,0,0,1,0,High,6,7,105
192,Buck-Martin,Corporate,Casino/Gambling,High,DE,0,0,0,0,0,0,High,6,7,106
193,Rodriguez Group,NGO,Real Estate,Medium,LB,0,0,0,0,0,0,Medium,4,4,
194,Simmons PLC,Financial Institution,Real Estate,Medium,KP,0,0,1,1,0,0,High,6,7,107
195,Bailey-West,Financial Institution,NGO/Charity,High,IR,0,0,1,1,0,0,High,6,7,108
196,Nichols Group,NGO,Consulting,Low,KP,0,0,1,1,0,0,High,6,7,109
197,"Brown, Alexander and Ramsey",Corporate,Crypto Exchange,High,SD,0,0,0,1,0,0,High,6,7,110
198,White-Cannon,Corporate,Retail,Low,KP,0,0,1,1,0,0,High,6,7,111
199,Mccullough Group,Financial Institution,Casino/Gambling,High,SG,0,0,0,0,0,0,High,6,7,112
200,Mccall LLC,NGO,Financial Services,Medium,US,0,0,0,0,1,0,Medium,4,4,
201,"Mcmillan, Lopez and Silva",Financial Institution,Crypto Exchange,High,AF,0,0,0,0,0,0,High,6,7,113
202,"Fox, Davis and Riley",Corporate,Consulting,Low,RU,0,0,0,1,0,0,Low,2,2,
203,Harrison PLC,NGO,Retail,Low,IR,0,0,1,1,0,0.5,High,6,7,114
204,Gallagher-Espinoza,Corporate,Import/Export,Medium,VE,1,0,0,1,0,1,High,6,7,115
205,Adams PLC,NGO,Defense/Arms,High,IR,0,0,1,1,1,0,High,6,7,116
206,Fletcher-Knight,Financial Institution,Tech,Low,CH,0,0,0,0,0,0,Low,2,2,
207,Cobb Inc,Financial Institution,Tech,Low,JP,0,0,0,0,0,0,Low,2,2,
208,Walker and Sons,Individual,Financial Services,Medium,SD,1,0,0,1,1,0,High,6,7,117
209,"Green, Edwards and Washington",NGO,Tech,Low,IN,0,0,0,0,0,1,Medium,4,4,
210,Phillips-Howard,NGO,NGO/Charity,High,AF,0,0,0,0,0,0,High,6,7,118
211,"Kane, Howell and Waller",Corporate,Energy/Oil,High,AF,0,0,0,0,1,0,High,6,7,119
212,Wolf-King,NGO,Import/Export,Medium,CH,0,0,0,0,0,0.5,Medium,4,4,
213,"Morris, Jackson and Jones",Financial Institution,Financial Services,Medium,IR,0,0,1,1,1,0,High,6,7,120
214,"Edwards, Deleon and Horn",Corporate,Defense/Arms,High,RU,0,0,0,1,1,0,High,6,7,121
215,Moss-Wells,Corporate,Financial Services,Medium,SY,0,0,0,1,1,0.5,Medium,4,4,
216,Smith Group,Corporate,Defense/Arms,High,AU,0,0,0,0,1,0,High,6,7,122
217,"Nelson, Martinez and Callahan",NGO,Real Estate,Medium,SD,0,0,0,1,0,1,Medium,4,4,
218,Lambert-Simmons,Financial Institution,Consulting,Low,IN,0,0,0,0,0,0,Low,2,2,
219,Page PLC,Individual,NGO/Charity,High,AU,1,0,0,0,0,0,High,6,7,123
220,Woods Group,Individual,Import/Export,Medium,SG,0,0,0,0,0,0,Medium,4,4,
221,Griffin-Brooks,Corporate,Energy/Oil,High,CA,0,0,0,0,1,0,High,6,7,124
222,Lee-Stewart,Individual,Consulting,Low,VE,0,0,0,1,0,0,Low,2,2,
223,Simmons-Keller,NGO,Defense/Arms,High,SY,0,0,0,1,1,0,High,6,7,125
224,"Moses, Hoover and Roberson",Financial Institution,Casino/Gambling,High,AE,0,0,0,0,0,0,High,6,7,126
225,Kirby PLC,Individual,NGO/Charity,High,SD,0,0,0,1,0,0,High,6,7,127
226,Adams-Davis,Individual,Tech,Low,LB,0,0,0,0,0,0,Low,2,2,
227,"Martinez, Schmidt and Collins",Individual,Crypto Exchange,High,SG,0,0,0,0,0,0,High,6,7,128
228,Williams Group,Corporate,Financial Services,Medium,IN,0,0,0,0,1,0,Medium,4,4,
229,Pittman-Hughes,Corporate,Defense/Arms,High,IN,0,0,0,0,1,0,High,6,7,129
230,Hernandez-Campbell,Financial Institution,NGO/Charity,High,DE,0,0,0,0,0,0,High,6,7,130
231,"Dean, King and Shea",Individual,Defense/Arms,High,IR,0,0,1,1,1,0,High,6,7,131
232,"Black, Harvey and Mcfarland",Financial Institution,Defense/Arms,High,SY,0,0,0,1,1,0,High,6,7,132
233,Thompson Inc,Individual,NGO/Charity,High,IR,1,0,1,1,0,0,High,6,7,133
234,Kelley-Gonzalez,Corporate,Tech,Low,AF,0,0,0,0,0,0,Low,2,2,
235,"Cook, Abbott and Williams",NGO,Consulting,Low,KP,0,0,1,1,0,1,High,6,7,134
236,Wallace LLC,Financial Institution,Defense/Arms,High,RU,1,0,0,1,1,0,High,6,7,135
237,Davis Ltd,Financial Institution,Defense/Arms,High,KP,0,0,1,1,1,0,High,6,7,136
238,Cooper Ltd,Individual,Real Estate,Medium,AU,0,0,0,0,0,0,Medium,4,4,
239,Adams Group,NGO,Consulting,Low,RU,0,0,0,1,0,0,Low,2,2,
240,Velazquez-Davis,Individual,Defense/Arms,High,CA,0,0,0,0,1,0,High,6,7,137
241,Jones Inc,NGO,Defense/Arms,High,FR,0,0,0,0,1,0,High,6,7,138
242,Orr Inc,Corporate,NGO/Charity,High,JP,0,0,0,0,0,0.5,High,6,7,139
243,Thompson-Castro,Corporate,Retail,Low,RU,0,0,0,1,0,0,Low,2,2,
244,Holt-Finley,Individual,Defense/Arms,High,CH,0,0,0,0,1,0,High,6,7,140
245,Butler-Lozano,Individual,Casino/Gambling,High,SY,0,0,0,1,0,0,High,6,7,141
246,Ferguson Group,Individual,Real Estate,Medium,AU,0,0,0,0,0,0,Medium,4,4,
247,"Bush, Luna and Benson",Corporate,Energy/Oil,High,FR,0,0,0,0,1,0.5,High,6,7,142
248,"Horton, Hampton and Riley",NGO,Import/Export,Medium,UK,0,0,0,0,0,0.5,Medium,4,4,
249,Lewis-Walker,NGO,Financial Services,Medium,CA,0,0,0,0,1,0,Medium,4,4,
250,"Lee, Vargas and Anderson",Individual,Real Estate,Medium,SY,0,0,0,1,0,0,Medium,4,4,
251,"Shea, Hess and Harper",NGO,Retail,Low,JP,0,0,0,0,0,0,Low,2,2,
252,Davis-Salinas,Corporate,Retail,Low,SD,0,0,0,1,0,0,Low,2,2,
253,Mcgee PLC,Individual,Defense/Arms,High,IR,0,0,1,1,1,0,High,6,7,143
254,Saunders-Contreras,Financial Institution,Energy/Oil,High,KP,0,1,1,1,1,0,High,6,7,144
255,"Simpson, Taylor and David",Corporate,Retail,Low,VE,0,0,0,1,0,1,Medium,4,4,
256,Hill-Greer,Financial Institution,Retail,Low,RU,0,0,0,1,0,0,Low,2,2,
257,Reid Group,Corporate,Defense/Arms,High,AE,0,0,0,0,1,0,High,6,7,145
258,Mejia-Rivera,Individual,NGO/Charity,High,IR,0,0,1,1,0,0,High,6,7,146
259,Harris and Sons,Financial Institution,Retail,Low,CN,0,0,0,0,0,0,Low,2,2,
260,Lozano-Thompson,Financial Institution,Casino/Gambling,High,SD,0,0,0,1,0,0,High,6,7,147
261,Martin-Pitts,Corporate,Energy/Oil,High,SG,0,0,0,0,1,0,High,6,7,148
262,Douglas-Robbins,Corporate,Tech,Low,SG,0,0,0,0,0,0.5,Low,2,2,
263,Alvarez-Obrien,Individual,NGO/Charity,High,AE,0,0,0,0,0,0,High,6,7,149
264,Smith Ltd,Financial Institution,Retail,Low,AU,0,0,0,0,0,0,Low,2,2,
265,Murphy LLC,Individual,Tech,Low,CA,0,0,0,0,0,0,Low,2,2,
266,Schroeder-Hall,Individual,Energy/Oil,High,CA,0,0,0,0,1,0,High,6,7,150
267,Bass-Matthews,Financial Institution,Casino/Gambling,High,IR,0,0,1,1,0,0,High,6,7,151
268,"Berry, Gutierrez and Todd",NGO,Retail,Low,LB,0,0,0,0,0,0,Low,2,2,
269,Phelps-Burns,Corporate,Financial Services,Medium,AU,0,0,0,0,1,0,Medium,4,4,
270,Mendoza LLC,Individual,Real Estate,Medium,US,0,0,0,0,0,0,Medium,4,4,
271,Washington Inc,Corporate,Casino/Gambling,High,AF,0,0,0,0,0,0,High,6,7,152
272,Figueroa LLC,Individual,Real Estate,Medium,SD,0,0,0,1,0,0,Medium,4,4,
273,"Marsh, Carson and Alexander",Corporate,Crypto Exchange,High,NL,0,0,0,0,0,0,High,6,7,153
